INSTNM,STABBR,ADM_RATE,NPT4_PUB,MD_EARN_WNE_P10,UGDS
Aveda Institute-Covington,LA,NULL,NULL,17700,1587
Aveda Institute-Denver,CO,NULL,NULL,NULL,440
Aveda Institute-Des Moines,IA,NULL,NULL,NULL,199
Aveda Institute-Lafayette,LA,NULL,NULL,17700,91
Aveda Institute-Los Angeles,CA,NULL,NULL,NULL,166
Aveda Institute-Minneapolis,MN,NULL,NULL,28400,515
Aveda Institute-New Mexico,NM,NULL,NULL,NULL,135
Aveda Institute-New York,NY,NULL,NULL,PrivacySuppressed,229
Aveda Institute-Phoenix,AZ,NULL,NULL,NULL,176
Aveda Institute-Portland,OR,NULL,NULL,NULL,361
Aveda Institute-Provo,UT,NULL,NULL,NULL,152
Aveda Institute-San Antonio,TX,NULL,NULL,NULL,285
Aveda Institute-South Florida,FL,NULL,NULL,PrivacySuppressed,580
Aveda Institute-Tallahassee,FL,NULL,NULL,NULL,572
Aveda Institute-Tucson,AZ,NULL,NULL,NULL,140
Aveda Institute-Twin Falls,ID,NULL,NULL,PrivacySuppressed,67
Avenue Five Institute,TX,NULL,NULL,NULL,236
Avera McKennan Hospital School of Radiologic Technology,SD,NULL,NULL,PrivacySuppressed,20
Avera Sacred Heart Hospital,SD,NULL,NULL,PrivacySuppressed,18
Averett University,VA,0.5964,NULL,42400,836
Averett University-Non-Traditional Programs,VA,NULL,NULL,42400,702
Avi Career Training,VA,NULL,NULL,PrivacySuppressed,21
Aviation Institute of Maintenance-Atlanta,GA,NULL,NULL,42000,566
Aviation Institute of Maintenance-Chesapeake,VA,NULL,NULL,37500,236
Aviation Institute of Maintenance-Dallas,TX,NULL,NULL,PrivacySuppressed,359
Aviation Institute of Maintenance-Houston,TX,NULL,NULL,NULL,236
Aviation Institute of Maintenance-Indianapolis,IN,NULL,NULL,35800,143
Aviation Institute of Maintenance-Kansas City,MO,NULL,NULL,34500,83
Aviation Institute of Maintenance-Las Vegas,NV,NULL,NULL,NULL,116
Aviation Institute of Maintenance-Manassas,VA,NULL,NULL,PrivacySuppressed,105
Aviation Institute of Maintenance-Orlando,FL,NULL,NULL,NULL,209
Aviation Institute of Maintenance-Philadelphia,PA,NULL,NULL,34500,320
Aviator College of Aeronautical Science and Technology,FL,NULL,NULL,NULL,176
Avila University,MO,0.5198,NULL,41100,1321
AVTEC-Alaska's Institute of Technology,AK,NULL,NULL,33500,889
Award Beauty School,MD,NULL,NULL,13300,266
Ayers Career College,LA,NULL,NULL,25100,259
Azure College,FL,NULL,NULL,NULL,211
Azusa Pacific University,CA,0.8183,NULL,50000,5918
Azusa Pacific University College,CA,NULL,NULL,50000,1055
B M Spurr School of Practical Nursing,WV,0.6667,NULL,PrivacySuppressed,31
Babson College,MA,0.2631,NULL,86700,2107
Bacone College,OK,0.4296,NULL,29700,939
Bainbridge State College,GA,NULL,3717,24300,2227
Bais HaMedrash and Mesivta of Baltimore,MD,0.96,NULL,NULL,59
Bais Medrash Elyon,NY,NULL,NULL,PrivacySuppressed,67
Bais Medrash Toras Chesed,NJ,0.4848,NULL,PrivacySuppressed,111
Baker College,MI,NULL,NULL,26400,3684
Baker College Center for Graduate Studies,MI,NULL,NULL,26400,3905
Baker College of Allen Park,MI,NULL,NULL,26400,3325
Baker College of Auburn Hills,MI,NULL,NULL,26400,2668
Baker College of Cadillac,MI,NULL,NULL,26400,1326
Baker College of Clinton Township,MI,NULL,NULL,26400,3588
Baker College of Jackson,MI,NULL,NULL,26400,1920
Baker College of Muskegon,MI,NULL,NULL,26400,3453
Baker College of Owosso,MI,NULL,NULL,26400,2489
Baker College of Port Huron,MI,NULL,NULL,26400,794
Baker University,KS,0.6953,NULL,48800,1649
Baker University School of Nursing,KS,NULL,NULL,48800,NULL
Baker University School of Professional and Graduate Studies and Graduate School of Education,KS,NULL,NULL,48800,NULL
Bakersfield College,CA,NULL,3849,29300,16982
Bakke Graduate University,TX,NULL,NULL,NULL,NULL
Baldwin Beauty School-North Austin,TX,NULL,NULL,20700,72
Baldwin Beauty School-South Austin,TX,NULL,NULL,20700,69
Baldwin Park Adult & Community Education,CA,NULL,2196,23300,307
Baldwin Wallace University,OH,0.6397,NULL,44900,3276
Ball State University,IN,0.5988,15141,38800,15895
Baltimore City Community College,MD,NULL,6004,29000,4640
Baltimore School of Massage-Linthicum,MD,NULL,NULL,27400,327
Baltimore School of Massage-York,PA,NULL,NULL,27400,38
Baltimore Studio of Hair Design,MD,NULL,NULL,15200,62
Bancroft School of Massage Therapy,MA,NULL,NULL,PrivacySuppressed,70
Bank Street College of Education,NY,NULL,NULL,PrivacySuppressed,NULL
Baptist Bible College,MO,NULL,NULL,29100,317
Baptist Health College-Little Rock,AR,0.6154,NULL,43200,802
Baptist Health System School of Health Professions,TX,NULL,NULL,PrivacySuppressed,500
Baptist Memorial College of Health Sciences,TN,0.5373,NULL,54100,1169
Baptist Missionary Association Theological Seminary,TX,1,NULL,PrivacySuppressed,54
Baptist Theological Seminary at Richmond,VA,NULL,NULL,NULL,NULL
Baptist University of the Americas,TX,NULL,NULL,PrivacySuppressed,168
Bar Palma Beauty Careers Academy,VA,NULL,NULL,16900,71
Barber Institute of Texas,TX,NULL,NULL,NULL,10
Barber School of Pittsburgh,PA,NULL,NULL,NULL,38
Barclay College,KS,0.5357,NULL,24300,228
Bard College,NY,0.4461,NULL,38700,2021
Bard College at Simon's Rock,MA,0.8939,NULL,33700,323
Barnard College,NY,0.2377,NULL,56800,2556
Barnes-Jewish College Goldfarb School of Nursing,MO,NULL,NULL,53300,592
Barone Beauty Academy,PA,NULL,NULL,NULL,43
Barrett and Company School of Hair Design,KY,NULL,NULL,14600,70
Barry University,FL,0.4611,NULL,44100,3913
Barry University Law School,FL,NULL,NULL,44100,NULL
Barstow Community College,CA,NULL,8833,31700,1588
Barton College,NC,0.3846,NULL,36000,998
Barton County Community College,KS,NULL,7257,32200,2646
Bastyr University,WA,NULL,NULL,37600,246
Bates College,ME,0.2542,NULL,51600,1773
Bates Technical College,WA,NULL,5987,34200,981
Baton Rouge Community College,LA,NULL,7625,32600,6895
Baton Rouge General Medical Center-School of Nursing,LA,NULL,NULL,48700,63
Baton Rouge General Medical Center-School of Radiologic Technology,LA,NULL,NULL,48700,19
Baton Rouge School of Computers,LA,NULL,NULL,31100,78
Bauder College,GA,NULL,NULL,24500,398
Bay Area Medical Academy,CA,NULL,NULL,NULL,95
Bay Area Medical Academy - San Jose Satellite Location,CA,NULL,NULL,NULL,NULL
Bay de Noc Community College,MI,NULL,6810,28100,1777
Bay Mills Community College,MI,NULL,4956,20300,547
Bay Path University,MA,0.6305,NULL,41100,1574
Bay State College,MA,0.5041,NULL,30400,1108
Bay State School of Technology,MA,NULL,NULL,39700,152
Bayamon Community College,PR,NULL,NULL,PrivacySuppressed,207
Baylor College of Medicine,TX,NULL,NULL,163900,NULL
Baylor University,TX,0.5536,NULL,48200,13801
Bayshire Academy of Beauty Craft Inc,MI,NULL,NULL,PrivacySuppressed,28
Be'er Yaakov Talmudic Seminary,NY,1,NULL,NULL,382
Beacon College,FL,0.5901,NULL,PrivacySuppressed,223
Beal College,ME,NULL,NULL,25400,424
Beau Monde College of Hair Design,OR,NULL,NULL,18400,136
Beau Monde College of Hair Design-Beau Monde Academy of Cosmetology,OR,NULL,NULL,NULL,50
Beaufort County Community College,NC,NULL,10486,24300,1525
Beaumont Adult School,CA,NULL,18776,PrivacySuppressed,93
Beautiful You School of Nail Technology,UT,NULL,NULL,NULL,14
Beauty Academy,WA,NULL,NULL,PrivacySuppressed,68
Beauty Academy of South Florida,FL,NULL,NULL,NULL,239
Beauty Anatomy Institute of Cosmetology and Wellness,FL,NULL,NULL,NULL,40
Beauty and Health Institute,FL,NULL,NULL,NULL,70
Beauty College of America,GA,NULL,NULL,14000,46
Beauty School of Middletown,NY,NULL,NULL,16200,73
Beauty Schools of America,FL,NULL,NULL,14300,349
Beauty Schools of America-Hialeah,FL,NULL,NULL,14300,877
Beauty Schools of America-Homestead,FL,NULL,NULL,14300,613
Beauty Schools of America-Miami,FL,NULL,NULL,14300,575
Beauty Schools of America-North Miami Beach,FL,NULL,NULL,14300,416
Beauty Technical College Inc,OK,NULL,NULL,PrivacySuppressed,29
Beaver Falls Beauty Academy,PA,NULL,NULL,15800,43
Becker College,MA,0.6247,NULL,36800,1975
Beckfield College-Florence,KY,NULL,NULL,29700,712
Beckfield College-Tri-County,OH,NULL,NULL,29700,548
Beis Medrash Heichal Dovid,NY,0.5254,NULL,PrivacySuppressed,93
Bel-Rea Institute of Animal Technology,CO,0.8141,NULL,30400,489
Belanger School of Nursing,NY,0.4167,NULL,60200,127
Belhaven University,MS,0.7169,NULL,36800,2546
Bell Mar Beauty College,IL,NULL,NULL,15700,76
Bella Capelli Academy,PA,NULL,NULL,NULL,209
Bellarmine University,KY,0.834,NULL,46600,2499
Belle Academy of Cosmetology,CT,NULL,NULL,NULL,14
Bellefonte Academy of Beauty,KY,NULL,NULL,PrivacySuppressed,163
Bellevue College,WA,NULL,7612,42400,5346
Bellevue University,NE,NULL,NULL,52600,6185
Bellin College,WI,0.4865,NULL,54900,305
Bellingham Technical College,WA,NULL,5419,36700,724
Bellus Academy,KS,NULL,NULL,17500,216
Bellus Academy-El Cajon,CA,NULL,NULL,17900,145
Bellus Academy-National City,CA,NULL,NULL,16500,177
Bellus Academy-Poway,CA,NULL,NULL,17500,369
Belmont Abbey College,NC,0.6923,NULL,36000,1545
Belmont College,OH,NULL,5354,24900,985
Belmont University,TN,0.8272,NULL,41800,5778
Beloit College,WI,0.6931,NULL,37900,1225
Bemidji State University,MN,0.9353,14589,38900,4386
Ben Franklin Career Center,WV,NULL,14616,20800,435
Benedict College,SC,NULL,NULL,21400,2444
Benedictine College,KS,0.9778,NULL,39600,1836
Benedictine University,IL,0.7717,NULL,51000,3750
Benes International School of Beauty,FL,NULL,NULL,17800,307
Benjamin Franklin Institute of Technology,MA,NULL,NULL,37900,484
Bennett Career Institute,DC,NULL,NULL,27300,311
Bennett College,NC,0.9179,NULL,26900,553
Bennington College,VT,0.6721,NULL,24600,631
Bentley University,MA,0.4611,NULL,76900,4190
Berea College,KY,0.3366,NULL,33400,1577
Bergen Community College,NJ,NULL,6656,35300,14530
Bergin University of Canine Studies,CA,NULL,NULL,NULL,43
Berk Trade and Business School,NY,NULL,NULL,31600,243
Berkeley City College,CA,NULL,8422,29400,5917
Berkeley College - Westchester Campus,NY,NULL,NULL,39000,NULL
Berkeley College-New York,NY,NULL,NULL,39000,4388
Berkeley College-Woodland Park,NJ,NULL,NULL,37000,3622
Berklee College of Music,MA,0.4038,NULL,30100,4743
Berks Career & Technology Center,PA,NULL,15580,NULL,52
Berks Technical Institute,PA,NULL,NULL,29800,985
Berkshire Community College,MA,NULL,8877,27600,1867
Berry College,GA,0.6083,NULL,38100,2065
Best Care Training Institute,NJ,NULL,NULL,NULL,54
Beth Hamedrash Shaarei Yosher Institute,NY,1,NULL,PrivacySuppressed,42
Beth Hatalmud Rabbinical College,NY,1,NULL,PrivacySuppressed,29
Beth Medrash Govoha,NJ,NULL,NULL,26000,2703
Bethany College,KS,0.9745,NULL,38100,637
Bethany College,WV,0.6205,NULL,39800,716
Bethany Lutheran College,MN,0.7768,NULL,34200,503
Bethany Theological Seminary,IN,NULL,NULL,NULL,NULL
Bethel College,VA,0.5714,NULL,NULL,57
Bethel College-Indiana,IN,0.7053,NULL,34900,1520
Bethel College-North Newton,KS,0.491,NULL,37900,483
Bethel Seminary-San Diego,CA,NULL,NULL,45000,NULL
Bethel Seminary-St Paul,MN,NULL,NULL,45000,NULL
Bethel University,MN,0.9543,NULL,45000,2936
Bethel University,TN,0.5742,NULL,36200,4638
Bethesda University,CA,0.6686,NULL,PrivacySuppressed,261
Bethune-Cookman University,FL,0.6371,NULL,29400,3897
Beulah Heights University,GA,NULL,NULL,27900,451
Bevill State Community College,AL,NULL,7848,25900,3210
Bexley Hall Seabury Western Theological Seminary Federation  Inc.,IL,NULL,NULL,NULL,NULL
Beyond 21st Century Beauty Academy,CA,NULL,NULL,NULL,50
Beyond Measure Barbering Institute,NC,NULL,NULL,NULL,39
Biblical Theological Seminary,PA,NULL,NULL,NULL,NULL
Bidwell Training Center Inc,PA,0.9412,NULL,PrivacySuppressed,169
Big Bend Community College,WA,NULL,6165,33100,1614
Big Sandy Community and Technical College,KY,NULL,6158,23800,3158
Biola University,CA,0.754,NULL,40500,4364
BIR Training Center,IL,NULL,NULL,PrivacySuppressed,2132
Birmingham Southern College,AL,0.5339,NULL,44200,1180
Birthingway College of Midwifery,OR,NULL,NULL,PrivacySuppressed,71
Birthwise Midwifery School,ME,0.6,NULL,PrivacySuppressed,70
Bishop State Community College,AL,NULL,4805,21800,2927
Bismarck State College,ND,NULL,8668,38400,3212
Bitterroot School of Cosmetology,MT,NULL,NULL,NULL,38
BJ's Beauty & Barber College,WA,NULL,NULL,NULL,28
BJ's Beauty & Barber College,WA,NULL,NULL,13500,98
Black Hawk College,IL,NULL,6028,28300,4250
Black Hills Beauty College,SD,NULL,NULL,16200,109
Black Hills State University,SD,0.941,13706,34400,2910
Black River Technical College,AR,NULL,6239,27000,1547
Blackburn College,IL,0.651,NULL,37100,578
Blackfeet Community College,MT,NULL,NULL,15600,482
Blackhawk Technical College,WI,NULL,9743,30400,2471
Blackstone Valley Vocational Regional School District,MA,NULL,NULL,NULL,48
Bladen Community College,NC,NULL,10621,23100,1130
Blades School of Hair Design,MD,NULL,NULL,PrivacySuppressed,99
Blake Austin College,CA,NULL,NULL,PrivacySuppressed,312
Blake Austin College Beauty Academy,CA,NULL,NULL,PrivacySuppressed,NULL
Blalock's Professional Beauty College,LA,NULL,NULL,NULL,17
Blessing Hospital School of Medical Laboratory Technology,IL,NULL,NULL,44400,4
Blessing Hospital School of Radiologic Technology,IL,NULL,NULL,44400,20
Blessing Rieman College of Nursing,IL,NULL,NULL,44400,234
Blinn College,TX,NULL,11862,36400,17095
Bloomfield College,NJ,0.634,NULL,36100,1933
Bloomsburg University of Pennsylvania,PA,0.8781,18226,43900,9109
Blue Cliff Career College,AL,NULL,NULL,PrivacySuppressed,82
Blue Cliff College,LA,NULL,NULL,19900,NULL
Blue Cliff College-Alexandria,LA,NULL,NULL,25700,271
Blue Cliff College-Fayetteville,AR,NULL,NULL,15500,412
Blue Cliff College-Gulfport,MS,NULL,NULL,23700,178
Blue Cliff College-Houma,LA,NULL,NULL,19900,218
Blue Cliff College-Lafayette,LA,NULL,NULL,25700,307
Blue Cliff College-Metairie,LA,NULL,NULL,19900,892
Blue Cliff College-Shreveport,LA,NULL,NULL,15500,253
Blue Hills Regional Technical School,MA,0.6667,23708,PrivacySuppressed,56
Blue Mountain College,MS,0.5503,NULL,29200,498
Blue Mountain Community College,OR,NULL,11097,29500,1388
Blue Ridge Community and Technical College,WV,NULL,7925,PrivacySuppressed,2138
Blue Ridge Community College,NC,NULL,8477,24400,1812
Blue Ridge Community College,VA,NULL,7898,32200,3551
Blue Sky School of Professional Massage and Therapeutic Bodywork,WI,NULL,NULL,PrivacySuppressed,72
Blue Water College of Cosmetology Inc,MI,NULL,NULL,PrivacySuppressed,39
Bluefield College,VA,0.9799,NULL,40000,897
Bluefield State College,WV,0.3834,8908,28300,1529
Bluegrass Community and Technical College,KY,NULL,7474,25400,9481
Bluffton University,OH,0.5603,NULL,37600,896
Bly's School of Cosmetology,FL,NULL,NULL,NULL,77
Bob Jones University,SC,0.8101,NULL,PrivacySuppressed,2553
Boca Beauty Academy,FL,NULL,NULL,NULL,208
Body Therapy Institute,NC,NULL,NULL,NULL,94
Boise Barber College,ID,NULL,NULL,NULL,42
Boise Bible College,ID,0.9275,NULL,25500,172
Boise State University,ID,0.77,15897,35600,16206
Bold Beauty Academy,MT,NULL,NULL,PrivacySuppressed,167
Bon Secours Memorial College of Nursing,VA,NULL,NULL,60900,489
Bon Secours St Mary's Hospital School of Medical Imaging,VA,NULL,NULL,NULL,25
Bonnie Joseph Academy of Cosmetology and Barbering,UT,NULL,NULL,NULL,31
Boricua College,NY,NULL,NULL,31300,1104
Borner's Barber College,CA,NULL,NULL,NULL,29
Bos-Man's Barber College,LA,NULL,NULL,NULL,24
Bossier Parish Community College,LA,NULL,8257,28500,6710
Boston Architectural College,MA,NULL,NULL,43300,352
Boston Baptist College,MA,0.7391,NULL,PrivacySuppressed,73
Boston College,MA,0.3391,NULL,66700,9483
Boston Graduate School of Psychoanalysis Inc,MA,NULL,NULL,NULL,NULL
Boston University,MA,0.3451,NULL,59500,16457
Bowdoin College,ME,0.1491,NULL,55300,1797
Bowie State University,MD,0.5506,13231,46800,4401
Bowling Green State University-Firelands,OH,NULL,10484,38800,1573
Bowling Green State University-Main Campus,OH,0.5337,17944,38800,13697
Bradford School,OH,NULL,NULL,25000,443
Bradford School,PA,0.8831,NULL,25900,413
Bradford-Union Technical Center,FL,NULL,NULL,PrivacySuppressed,121
Bradley University,IL,0.643,NULL,51400,4585
Bramson ORT College,NY,NULL,NULL,27600,560
Brand College,CA,0.8,NULL,NULL,59
Brandeis University,MA,0.3522,NULL,56800,3715
Brandman University,CA,0.7317,NULL,NULL,3755
Branford Academy of Hair and Cosmetology,CT,NULL,NULL,NULL,42
Branford Hall Career Institute-Albany Campus,NY,NULL,NULL,27900,309
Branford Hall Career Institute-Amityville,NY,NULL,NULL,NULL,328
Branford Hall Career Institute-Bohemia Campus,NY,NULL,NULL,27900,682
Branford Hall Career Institute-Branford Campus,CT,NULL,NULL,27900,493
Branford Hall Career Institute-Jersey City,NJ,NULL,NULL,44700,251
Branford Hall Career Institute-North Brunswick,NJ,NULL,NULL,44700,242
Branford Hall Career Institute-Parsippany,NJ,NULL,NULL,44700,119
Branford Hall Career Institute-Southington Campus,CT,NULL,NULL,27900,454
Branford Hall Career Institute-Springfield Campus,MA,NULL,NULL,27900,549
Branford Hall Career Institute-Windsor Campus,CT,NULL,NULL,27900,385
Brazosport College,TX,NULL,4441,30100,3164
Brenau University,GA,0.7581,NULL,42000,1581
Brensten Education,WI,0.8518,NULL,NULL,453
Brescia University,KY,0.4927,NULL,37500,1003
Brevard College,NC,0.4321,NULL,28800,696
Brewster Technical College,FL,NULL,11576,17000,195
Brewton-Parker College,GA,NULL,NULL,32200,472
Briar Cliff University,IA,0.6169,NULL,38100,964
Briarcliffe College,NY,NULL,NULL,38200,1719
Briarcliffe College–Patchogue,NY,NULL,NULL,38200,NULL
Bridgeport Hospital School of Nursing,CT,NULL,NULL,70000,189
Bridgerland Applied Technology College,UT,NULL,2803,24300,751
BridgeValley Community & Technical College,WV,NULL,NULL,NULL,1887
Bridgewater College,VA,0.4782,NULL,40800,1768
Bridgewater State University,MA,0.7931,17781,42300,9500
Brigham Young University-Hawaii,HI,0.3486,NULL,41500,2522
Brigham Young University-Idaho,ID,0.9962,NULL,38800,23865
Brigham Young University-Provo,UT,0.47,NULL,57200,27163
Brighton Center's Center for Employment Training,KY,NULL,NULL,PrivacySuppressed,97
Brighton Institute of Cosmetology,MI,NULL,NULL,NULL,56
Brightwood Career Institute-Broomall,PA,NULL,NULL,29300,329
Brightwood Career Institute-Harrisburg,PA,NULL,NULL,26200,217
Brightwood Career Institute-Philadelphia,PA,NULL,NULL,26200,610
Brightwood Career Institute-Philadelphia Mills,PA,NULL,NULL,33900,640
Brightwood Career Institute-Pittsburgh,PA,NULL,NULL,21900,444
Brightwood College-Arlington,TX,NULL,NULL,40600,386
Brightwood College-Bakersfield,CA,NULL,NULL,24500,387
Brightwood College-Baltimore,MD,NULL,NULL,33800,547
Brightwood College-Beaumont,TX,NULL,NULL,20300,198
Brightwood College-Beltsville,MD,NULL,NULL,37400,388
Brightwood College-Brownsville,TX,NULL,NULL,23000,335
Brightwood College-Charlotte,NC,NULL,NULL,30600,249
Brightwood College-Chula Vista,CA,NULL,NULL,34400,279
Brightwood College-Corpus Christi,TX,NULL,NULL,23200,392
Brightwood College-Dallas,TX,NULL,NULL,40600,435
Brightwood College-Dayton,OH,NULL,NULL,22700,317
Brightwood College-El Paso,TX,NULL,NULL,23000,566
Brightwood College-Fort Worth,TX,NULL,NULL,23200,269
Brightwood College-Fresno,CA,NULL,NULL,20400,264
Brightwood College-Friendswood,TX,NULL,NULL,23100,236
Brightwood College-Hammond,IN,NULL,NULL,21700,299
Brightwood College-Houston,TX,NULL,NULL,23100,334
Brightwood College-Indianapolis,IN,NULL,NULL,24300,500
Brightwood College-Laredo,TX,NULL,NULL,20300,295
Brightwood College-Las Vegas,NV,NULL,NULL,25900,944
Brightwood College-McAllen,TX,NULL,NULL,23200,502
Brightwood College-Modesto,CA,NULL,NULL,20400,408
Brightwood College-Nashville,TN,NULL,NULL,30600,368
